,SCLC-A,SCLC-A2,SCLC-N,SCLC-P,SCLC-Y
Bcas4,0.014502158481138908,0.012682026268248077,0.02415362375034818,0.015039649670763332,0.027911469491629377
Bcat1,0.0056441448593926675,0.00602381235113235,0.02537787159798817,0.03583384394350135,0.013395498890413539
Bcl11a,0.019751828985977663,0.010619249810677144,0.031042085998410886,0.0270858635364742,0.00783180556894167
Bcl2,0.028127654725010446,0.03278729981125115,0.012651150046070073,0.03487377024626016,0.010767620733570408
Bcl2l12,0.014166980947280724,0.01796720553030037,0.015414301128110307,0.03982674667058242,0.040717064666694745
Bcl3,0.0017240862173437256,0.01789575502659243,0.004298305397510788,0.011076803598160398,0.02959441407401836
Bcl6,0.020337619620756826,0.01983640824147943,0.008757400214138988,0.007023062313354179,0.027642003911181184
Bcl9l,0.012839280819784403,0.01653423153483733,0.018999783005345112,0.026163819079211385,0.03322334725089674
Bdh1,0.034554016793373644,0.03208013296094142,0.03374014396496524,0.042103373119722766,0.018644420411098032
Bend5,0.032164222878210434,0.017399853024134333,0.02451069783245576,0.013923665233725594,0.006426278348381939
Best3,0.03505885062130919,0.03171754873937408,0.008366750390569203,0.002494266745073044,0.0050371787870753994
Bex1,0.058109013844061475,0.04503758226708054,0.05829916694487728,0.031206566369777113,0.020513654031942576
Bex2,0.05063878762287501,0.034559170904720805,0.04522850722129471,0.04110424559244561,0.028653548207306267
Bex4,0.048407911274783375,0.029763356651108963,0.036482615953184354,0.031830377784880876,0.029359715370247005
Bex5,0.03144252696259556,0.016119097221349205,0.022765519598548663,0.008906189217161449,0.010545425603070507
Bhlhe40,0.009540686875343117,0.019965776503274885,0.020173240729357972,0.017000029911873302,0.027956324157779305
Bik,0.015503899477868748,0.02654920856201547,0.004867328147525378,0.030420802039404816,0.0038061598128613784
Blvrb,0.00912758543887334,0.019900067987771143,0.02228642089460459,0.029280670550271653,0.05190222468048949
Bmf,0.027668425405341885,0.027106288114841344,0.012793246746580599,0.02691992390540553,0.014432666640109735
Bmp1,0.012257897333393452,0.010463049930428226,0.022024055879407374,0.007969006663321144,0.0320115381464852
Bmp8b,0.027660291875129642,0.027266213134605522,0.023476551229741613,0.017034115568903174,0.007519409265507347
Bmx,0.00208380107061197,0.0012166560958776764,0.003344018815479311,0.03752434405060886,-0.0009350793139064825
Bok,0.012638644580670605,0.01492275540872406,0.010823696512962276,0.007190688146401903,0.027067606818888576
Brsk1,0.040662816500139566,0.023470354107924835,0.03887447117548942,0.02301036026830888,0.019040012429508126
Brsk2,0.03243196027016406,0.015644617801324603,0.03769050398343093,0.017949343820935312,0.01015851394936406
Bspry,0.027605759705493938,0.03287424160709946,0.005623270556207124,0.027838245686624456,0.0012849590718445442
Bst2,-0.0007728652097666683,0.012051347065232058,0.004200339331775325,0.0045895749232381594,0.03833532796309173
Btbd11,0.027551607536760742,0.014417954036323613,0.01504442944503141,-0.0005120919797573524,-0.0017754813289116984
Btbd3,0.03482117474813426,0.03961536262088257,0.03396734162908584,0.041769067366336905,0.021341748119482976
Btg2,0.034973783503765885,0.03758966596825734,0.029518624294504806,0.030322615966098962,0.016651993925516903
Btn3a2,0.012105329111743965,0.021679813961891534,0.011971664544211488,0.027820461894031034,0.027029602485410312
C1ql1,0.026857275822038514,0.0237168300129328,0.034558769136748206,0.0007802239393454141,0.026002167795025864
C1r,0.013694282140377238,0.01454261102372263,0.004178674512399221,0.012850703020268238,0.027310121911893425
C2orf15,0.024708848014205077,0.026272824411933165,0.010036336787556832,0.02112753719971876,0.005924848652572966
Ca11,0.02705003402884067,0.022918632930658833,0.03534843344085127,0.015247808883958297,0.02395524879317324
Ca8,0.029092225220758088,0.03684360437002315,0.013084963313025067,0.01084690743802798,0.0001369441238815019
Cabp7,0.013839857307022212,0.014934920329459736,0.03475931901004434,-0.005019651606916271,-0.0008550827905881624
Cacna1a,0.03615047543634347,0.04280827262840179,0.01565468737892018,0.001854534219647971,-0.00024239484958222493
Cacna2d1,0.030240219864639147,0.026938389806474724,0.03724402342726822,0.01790634861270018,0.018456831193753163
Cacna2d2,0.014118717463162745,0.00711507315232245,0.028534030278049082,0.008672268577921553,0.01365701219070619
Cacng4,0.03549159255974314,0.012524768012549327,0.026558723520346026,-0.004018019808426701,0.017197290920400114
Cadm1,0.04681025247339761,0.044138680974863446,0.03577709690082894,0.025431245006670725,0.013712117146631243
Cadps,0.027547681942878186,0.023044291435938717,0.0329410564658425,0.015935006672751065,-0.005457148277654932
Cadps2,0.021755530538331177,0.03830341808637695,0.00815931537328883,0.021921712626375378,0.006421223738182797
Calca,0.0019016020545539452,0.04252444039501195,-0.004062283199490112,0.014254479295963633,0.009951129762362494
Calcb,0.01788104824496983,0.02475657516088905,0.010658798538930349,0.012308848838444212,0.007409707368818573
Cald1,0.009446114790603432,0.016579667851393195,0.02817173966429525,0.035277337239538444,0.04071015112627735
Camk1d,0.03202347641691052,0.033379014832602374,0.023899765822158425,0.014816431499513975,0.015708543487171173
Camk2b,0.023468560678435536,0.02519244305427315,0.027523465339892736,0.010188513286570933,0.0009396727808115045
Camk2n1,0.02678430110873148,0.02794192271510341,0.030150465672992864,0.00202772635051919,0.01817771971174763
Camk2n2,0.03251680148529794,0.027024262544775857,0.026847101490273514,0.005053682540073182,0.00870896198521862
Camk4,0.028465100786371874,0.008415840285349967,0.02801842750326038,0.013786126737298718,0.008044609237140697
Camkv,0.016209732738985905,0.0070954110802577165,0.04316934529545144,0.013597615283907035,0.0016581664865488806
Cap2,0.020375293420371185,0.005613290530752902,0.030326214844899252,0.026769989396633265,0.026984388785606245
Capg,0.02043835208365608,0.014777467368711952,0.01394987355208601,0.02705319219430901,0.030733771229383325
Capn2,0.027364849229890506,0.0404349830839639,0.03279685622220903,0.04373937682143592,0.04290876273486684
Casp4,0.00910097870865285,0.03183009496341042,-0.0032846790346968283,0.028084468029244112,0.024645351509158604
Casp6,0.02949147629485319,0.0277459657835742,0.0179200668894169,0.041221396863474466,0.02764392146698734
Casp7,0.019654756056747467,0.024178337773048085,0.01061316802499915,0.029638217974008316,0.03297857900573731
Casp8,0.015083111179135677,0.026317877478886652,0.0018967852223796173,0.023235902039171568,0.02809979714117221
Cast,0.027748942183184952,0.03445456393612659,0.031235807947934915,0.03868542244047508,0.04359326133279785
Casz1,0.020927093730666337,0.022559235316550304,0.017129839875474177,0.03360464503752645,0.009080543800117847
Cav1,0.0013139632755857545,0.004242937031245779,0.004959370235501339,0.01709544371947273,0.04101522333277033
