,cluster,cline,drug,Emax_normalized,AAr,IC50,logEC50,Emax
247,[4],NCIH1048,(+)-JQ1,44.74945282,0.763553886,1.64E-06,-6.380906669,44.63006183
248,[3],NCIH1092,(+)-JQ1,110.6869131,0,,-8.501689446,96.28225736
249,[3],NCIH1105,(+)-JQ1,59.23376624,0.462926032,,-6.073657553,58.70927009
250,[4],NCIH1341,(+)-JQ1,9.742517942,0.875158174,1.36E-06,-5.943095149,9.600236691
251,[3],NCIH1436,(+)-JQ1,43.43373681,0.781929432,6.75E-06,-6.329754147,44.33382448
252,[3],NCIH146,(+)-JQ1,24.52426092,0.283727234,1.32E-05,-5.15864053,23.37547941
253,[3],NCIH1618,(+)-JQ1,19.37024997,0.672605229,2.10E-06,-5.818156412,19.41574594
254,[2],NCIH1694,(+)-JQ1,-13.01387036,0.899346109,2.33E-06,-5.454692884,-13.15314949
255,[3],NCIH1836,(+)-JQ1,78.94657587,0.211785846,,-5.991399828,79.88360738
256,[3],NCIH1876,(+)-JQ1,34.69744271,0.896603506,1.47E-06,-6.35261703,33.95698993
257,[3],NCIH1930,(+)-JQ1,65.72356974,0.283946637,,-5.801342913,64.23177864
258,[4],NCIH196,(+)-JQ1,42.10102815,0.782618888,4.18E-06,-6.315154638,41.27287972
259,[3],NCIH1963,(+)-JQ1,29.35916185,1.005121766,4.48E-07,-6.4225082,32.38213053
260,[1],NCIH2029,(+)-JQ1,73.66838802,0.174283204,,-5.596879479,70.83250898
261,[4],NCIH2066,(+)-JQ1,48.64914666,0.838781949,4.32E-06,-6.630784143,43.38021194
262,[3],NCIH2081,(+)-JQ1,68.82962412,0.374684731,,-6.199282922,68.8444547
263,[3],NCIH209,(+)-JQ1,67.21701297,0.366975372,,-6.106238238,55.55633662
264,[4],NCIH211,(+)-JQ1,0.613909592,1.428776763,3.71E-07,-6.434152181,0.570090229
265,,NCIH2141,(+)-JQ1,46.76077801,0.641383248,9.47E-06,-6.179798541,45.51054542
266,[2],NCIH2171,(+)-JQ1,4.691110959,1.15217604,6.47E-07,-6.208309351,4.625161374
267,[2],NCIH446,(+)-JQ1,13.0543468,0.843862096,1.23E-06,-5.970616222,12.79566529
268,[1],NCIH510,(+)-JQ1,78.94657587,0.211785846,,-5.991399828,79.88360738
269,[2],NCIH524,(+)-JQ1,13.94259692,1.104249278,7.08E-07,-6.271646218,13.15885539
270,[2],NCIH526,(+)-JQ1,11.06633835,1.763362774,1.17E-07,-6.982966661,10.85003797
271,[3],NCIH69,(+)-JQ1,17.97199579,0.98178722,8.97E-07,-6.189095719,18.03997418
272,,NCIH69/CPR,(+)-JQ1,34.99035387,0.515402514,3.69E-06,-5.774690718,35.5995134
