Gene,GFPneg #1,GFPneg #2,GFPneg #3,GFPhigh #1,GFPhigh #2,GFPhigh #3
Ttc39b,7.355920837,7.285852614,7.332657896,6.867640157,6.586756126,6.774168388
Tert,5.984440692,6.482015973,6.420201885,5.51540169,5.693387102,5.932001918
Elmsan1,8.263941125,8.231088774,8.044233101,7.477010996,7.644786896,7.671099124
4-Mar,9.379123014,9.418862122,9.477995459,8.934988815,8.677667545,8.91608222
Lmbrd2,9.358053585,9.348507395,9.319774134,8.915557081,8.52384693,8.839327091
Smarca4,10.05393906,10.0383672,10.11988107,9.383579936,9.445568102,9.633148402
Hsbp1,10.43365921,10.48537176,10.5667883,9.940638669,9.765800334,10.02900479
Tmed4,9.563309908,9.776844391,9.435092455,8.977677572,8.925491322,9.120705678
Nr3c2,7.699867008,7.798372892,7.388280401,7.148726201,6.946892397,7.039397748
Arpc5,9.788857064,9.682315743,9.596652249,9.219543007,8.861162338,9.235395316
Mia3,8.877709465,8.874516969,8.815361931,8.304660834,8.194668163,8.316432773
Slc12a5,7.137285046,7.24697969,7.387094178,6.770582493,6.561819968,6.68565448
Cep192,8.167735138,8.275716867,8.198089389,7.726030851,7.475636824,7.685809403
Tipin,9.024357587,9.013768107,8.858084972,8.344301713,8.355657209,8.439946701
Arl3,8.213540534,8.332287176,8.312243298,7.78373238,7.654363266,7.661494164
Taf2,9.207164031,9.315525038,9.200315626,8.64636623,8.515905195,8.802156597
Pald1,7.60741585,7.9296923,7.564153331,6.957503112,7.195209761,7.189127026
Necap1,9.224970783,9.503134799,9.281895693,8.626955369,8.820814079,8.801887654
Ivns1abp,10.15783249,10.00823956,10.36392453,9.607556003,9.609995528,9.551664715
Acyp2,6.611041486,6.544630363,6.576537071,6.210293558,5.779374635,5.98119724
Gpr182,6.61614632,6.511386822,6.501418754,5.961526995,5.986404466,5.919612354
Stx2,7.266810422,7.159322379,7.340423009,6.727560614,6.775621015,6.500399599
Negr1,5.012036668,4.91806227,4.79007949,4.268110967,4.3949577,4.293306479
Krt8,11.45844189,11.3236434,10.95440042,10.77628249,10.61457167,10.58096425
Kdm7a,8.530692427,8.30652708,8.018686683,7.902681747,7.593683237,7.594005249
Gtf2ird1,8.341272749,8.367659961,8.545916588,7.855066053,7.871485629,7.762031951
Khdrbs1,8.856835467,8.7515437,9.232827951,8.310242552,8.450521819,8.314033901
Rhno1,7.052176658,6.903599499,6.87961617,6.362250692,6.412594168,6.293949847
Cry1,7.70621525,7.260919046,7.31183394,6.889940557,6.840605825,6.781668224
Spef1,8.242565758,8.419736884,8.833708177,7.589805768,8.066797865,8.072203916
Arpp19,7.852099151,7.681876879,7.733201802,7.154922708,7.035345812,7.309447619
Banf1,8.827542744,8.939794337,9.138574231,8.48098925,8.173716308,8.482926507
Siah1a,7.902636712,7.576508195,7.793853172,7.161799309,7.00532352,7.337266404
Exoc6,8.282245128,8.187174554,8.163457501,7.840771769,7.346503718,7.676539218
Ubr7,8.595817123,8.401613538,8.703139248,8.039019322,7.852110261,8.040049931
Dcdc2a,6.339352512,6.567164233,6.471300345,5.921820186,5.843021064,5.843506791
Arrb2,8.149824465,8.414458916,8.386952988,7.694044171,7.815941304,7.671700492
Zfp354b,5.851126369,5.746469272,5.566966496,5.032274544,5.090196633,5.271915787
