Feature Name,1,2,3,4,5
ARNT2,,,,,1.0
ARNTL2,,,,,1.0
ARPC1B,1.0,,,,
ARPC2,1.0,,,,
ARPC3,1.0,,,,
ARPC4,1.0,1.0,,,
ARPC5,,1.0,,,
ARPC5L,,,,1.0,
ARPP19,,,,,1.0
ARPP21,,,1.0,,
ARRB1,,1.0,1.0,,
ARRB2,,,1.0,,
ARRDC1,,,,1.0,
ARRDC2,,,,1.0,
ARSA,1.0,,,,
ARSB,1.0,,,,
ARSF,,,1.0,,
ART3,1.0,1.0,,,
ART5,,1.0,,,
ARTN,,,,1.0,
AS3MT,,,,,1.0
ASAH1,,1.0,,,
ASAP1,1.0,,1.0,,
ASAP3,1.0,,,,
ASB1,,,,1.0,
ASB12,,1.0,,,
ASB13,,1.0,1.0,,
ASB2,,,1.0,,
ASCC1,1.0,1.0,,,
ASCC2,,,1.0,,
ASCC3,,1.0,,,
ASCL1,,,,1.0,
ASCL2,,1.0,,,
ASF1B,,,,,1.0
ASIC1,,,1.0,,
ASIC2,,,,1.0,
ASIC4,,,1.0,,
ASL,1.0,,,,
ASMTL,1.0,,1.0,,
ASNSD1,,1.0,,,
ASPA,,1.0,,,
ASPDH,,,1.0,,1.0
ASPG,,,1.0,,
ASPHD1,,,1.0,,
ASPHD2,,,1.0,,
ASPM,,,,,1.0
ASPN,,,1.0,,
ASPSCR1,,,1.0,,
ASRGL1,,,,,1.0
ASS1,,,1.0,,
ASTE1,,,,,1.0
ASXL1,1.0,1.0,1.0,,
ASXL2,,,,1.0,
ASXL3,,,,,1.0
ATAD2B,,1.0,,,
ATAD3A,1.0,1.0,1.0,,
ATAD3B,,,1.0,,
ATCAY,,,,,1.0
ATF1,,1.0,,,
ATF5,,,,,1.0
ATF6B,1.0,1.0,,1.0,
ATF7IP,,1.0,,,
ATF7IP2,1.0,1.0,,,
ATG10,,,,,1.0
ATG12,1.0,,,,
ATG16L1,1.0,,,,
ATG2A,1.0,,,,
ATG4B,,1.0,,,
ATG4C,,,1.0,,
ATG4D,,,,,1.0
ATG7,1.0,,,,
ATG9A,1.0,,,,
ATIC,,1.0,1.0,,
ATL1,,,,,1.0
ATL2,1.0,1.0,,,
ATL3,1.0,1.0,,,
ATM,,1.0,,,
ATOH8,,,1.0,,
ATOX1,1.0,,,,
ATP10D,,1.0,,,
ATP11C,,,1.0,,
ATP13A1,,,1.0,,
ATP1A1,,1.0,,,
ATP1A3,,,1.0,,
ATP1B3,1.0,,,,
ATP2B2,,,1.0,,
ATP2C1,,,,,1.0
ATP2C2,,,,1.0,
ATP6AP2,,,,1.0,
ATP6V0A1,,,1.0,,
ATP6V0B,,,,1.0,
ATP6V0E1,1.0,,,,
ATP6V0E2,,,1.0,,
ATP6V1B1,,,,1.0,
ATP6V1C1,1.0,,,,
ATP6V1E2,1.0,,,,
ATP6V1G1,,,,1.0,
ATP7B,,,,1.0,
ATP8B3,1.0,,,,
ATPAF1,,,,1.0,
ATR,1.0,,,,
ATRAID,1.0,,,1.0,
ATRIP,1.0,,,,
ATRX,,,,,1.0
ATXN1,1.0,1.0,,,
ATXN1L,1.0,,,,
ATXN2,1.0,,,,
ATXN7,1.0,,,,
ATXN7L2,,,1.0,,1.0
ATXN7L3,,1.0,,,
ATXN7L3B,,,,1.0,
AUH,,,,1.0,
AUNIP,,,1.0,,
AUP1,1.0,,,,
AURKA,1.0,,,,
AURKB,,,1.0,,
AUTS2,,,1.0,,1.0
AVEN,1.0,,,,
AVIL,,1.0,,,
AVP,,,,,1.0
AVPI1,1.0,,1.0,,
AVPR1A,,,,1.0,
AVPR2,,,1.0,,
AXDND1,,1.0,,,
AXL,1.0,,,,
AZGP1,,1.0,,,
AZI2,1.0,,,,
AZU1,1.0,,,,
B2M,1.0,,,,
B3GALNT2,1.0,1.0,,,
B3GALT2,,,1.0,,
B3GALT4,,,,1.0,
B3GALT5,,,,1.0,
B3GALT6,,1.0,,,
B3GAT1,,,,,1.0
B3GNT2,,1.0,,1.0,
B3GNT3,,,,1.0,
B3GNT8,,,,1.0,
B3GNT9,1.0,,,,
B3GNTL1,1.0,,,,
B4GALNT1,1.0,,,,
B4GALNT2,1.0,1.0,,1.0,
B4GALT1,1.0,,,,
B4GALT2,,,,1.0,
B4GALT5,,1.0,,,
B4GALT6,,,,1.0,
B4GALT7,1.0,,,,
BABAM1,1.0,,,,
BACE2,,,,1.0,
BAG2,1.0,,,,
BAG3,1.0,,,,
BAG5,,,1.0,,
BAG6,1.0,,,,
BAIAP2,,,1.0,,
BAIAP2L1,,,,1.0,
BAIAP3,,,,1.0,
BAMBI,,,,1.0,
BANF2,,,1.0,,
BANP,,,,,1.0
BARHL1,,,1.0,,
BARX1,,,,,1.0
BARX2,,,,1.0,
BATF3,1.0,,1.0,,
BAZ1A,,1.0,1.0,,
BAZ1B,,,,,1.0
BAZ2B,,,,1.0,1.0
BBS10,,,,,1.0
BBS12,1.0,,,,
BCAP29,1.0,,,,
BCAP31,,,,,1.0
BCAR1,,,1.0,,
BCAR3,1.0,,,,
BCAS2,,,,,1.0
BCAS4,1.0,,1.0,,
BCCIP,1.0,,,,
BCKDK,1.0,,,,
BCL10,1.0,,,1.0,
BCL11A,,,1.0,,
BCL11B,,,1.0,,1.0
BCL2,,1.0,,1.0,
BCL2L1,,,,,1.0
BCL2L11,,,,1.0,
BCL2L12,1.0,1.0,,,
BCL2L14,,1.0,,,
BCL2L2,,,,1.0,
BCL3,1.0,,,,
BCL6B,,,,1.0,
BCL7B,,,,,1.0
BCL7C,1.0,,,,
BCL9L,1.0,1.0,,,
BCLAF1,,,,,1.0
BCOR,,,,1.0,
BCR,,,,1.0,
BCS1L,,1.0,1.0,,
BDKRB1,,,1.0,1.0,
BDKRB2,,,1.0,,
BDNF,1.0,,,,
